### BDSIM output created Mon Jun 24 16:12:05 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 0 0 3 0 0
2212 4000 0 0 19.115 0 0
2212 4000 0 0 20.915 0 0
2212 4000 0 0 21.475 0 0
2212 4000 0 0 21.475 0 0
2212 4000 0 0 21.475 0 0
2212 4000 0 0 22.965 0 0
2212 4000 0 0 29.335 0 0
2212 4000 0 0 29.335 0 0
2212 4000 0 0 29.335 0 0
2212 4000 0 0 29.842 0 0
2212 4000 0 0 29.843 0 0
2212 4000 0 0 29.844 0 0
2212 4000 0 0 29.844 0 0
2212 4000 0 0 29.844 0 0
2212 4000 0 0 29.844 0 0
2212 4000 0 0 29.844 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 31.531 0 0
2212 4000 0 0 32.052 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 37.552 0 0
2212 4000 0 0 38.021 0 0
2212 4000 0 0 38.022 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.023 0 0
2212 4000 0 0 38.554 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
2212 4000 0 0 44.054 0 0
